"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen"
"Jason","Hobbs","","199","1999 Novakar J9","P-FM","44.721","40.874","5","10","1","","46.541","","45.468","","137.61","RERUN","44.721","","44.919","","50.698","DNF"
"Matt"," Murphy","","191","1999 Novakar J9","P-FM","45.623","41.699","12","19","2","","54.333","","55.761","OFF","45.691","","45.683","1","45.623",""
"Pierro","Pucci","","510"," Mitsubishi Evo","XA","48.207","40.590","1","5","3","","50.998","","48.966","","48.88","","48.234","4","48.207",""
"Adam","Barber","","1","1988 Honda CRX Si","P-STS","49.217","40.062","1","1","4","","50.157","","49.534","1","49.543","","49.243","","49.217",""
"John","Mensch","","58","1999 Mazda Miata","P-XB","49.240","41.755","13","21","5","","51.908","","50.493","","49.24","","49.622","1","48.617","1"
"Tyler","Salminen","","68","2015 Scion Fr-s","P-STX","49.324","40.297","3","4","6","","51.645","","50.7","","57.822","","49.878","","49.324",""
"Kyle","Greene","","99","2018 Honda Civic Type R","Z-DS","49.762","40.207","1","3","7","","53.656","","51.224","","50.574","","49.866","","49.762",""
"Matthew","Sebelski","","761","2001 Chevrolet Corvette Z06","C1-CAMS","49.880","42.148","1","29","8","","51.753","","49.837","1","49.924","2","49.88","","49.205","2"
"Nathan","Thalhuber","","711","1991 Toyota MR2","XA","49.917","42.030","2","27","9","","51.138","","50.837","","50.306","","49.917","","49.953",""
"Salah","Khuhro","","666","2021 Tesla Model 3 Long Range","Z-EVX","50.067","41.655","6","18","10","","55.91","1","51.596","","50.775","","50.067","","49.572","1"
"Chris","Weiske","","341","2011 Subaru WRX STi","XA","50.123","42.203","3","30","11","","51.905","","51.313","","50.123","","50.424","","49.074","1"
"Adam","Ansorge","566","665","2022 Toyota GR86","Z-DS","50.324","40.661","2","6","12","","52.759","","51.004","","50.678","","50.324","","50.168","1"
"Adam","Quimby","","656","2022 Toyota GR 86","Z-DS","50.340","40.674","3","7","13","","51.508","","51.741","","50.666","","50.34","","49.486","2"
"Ross","Jacobs","","311","2017 Ford Focus RS","Z-DS","50.343","40.677","4","8","14","","51.757","","51.385","","50.72","","50.343","","50.499","1"
"Mitchell","Welker","","76","1990 Mazda Miata","P-STS","50.522","41.124","7","13","15","","53.057","","50.522","","50.713","","267.881","DNF"
